DATE,CLVMNACSCAB1GQFR
1975-01-01,237727.0
1975-04-01,237076.0
1975-07-01,237162.0
1975-10-01,242059.0
1976-01-01,244436.0
1976-04-01,247810.0
1976-07-01,250549.0
1976-10-01,252236.0
1977-01-01,255139.0
1977-04-01,255962.0
1977-07-01,258288.0
1977-10-01,260391.0
1978-01-01,263824.0
1978-04-01,266635.0
1978-07-01,268767.0
1978-10-01,271679.0
1979-01-01,274054.0
1979-04-01,275524.0
1979-07-01,279153.0
1979-10-01,279886.0
1980-01-01,282657.0
1980-04-01,281030.0
1980-07-01,281371.0
1980-10-01,281027.0
1981-01-01,282128.0
1981-04-01,283549.0
1981-07-01,285398.0
1981-10-01,287313.0
1982-01-01,289603.0
1982-04-01,291437.0
1982-07-01,291885.0
1982-10-01,293322.0
1983-01-01,294627.0
1983-04-01,294750.0
1983-07-01,295049.0
1983-10-01,296695.0
1984-01-01,298484.0
1984-04-01,299430.0
1984-07-01,301201.0
1984-10-01,301602.0
1985-01-01,302106.0
1985-04-01,304426.0
1985-07-01,306366.0
1985-10-01,307556.0
1986-01-01,308687.0
1986-04-01,312078.0
1986-07-01,313546.0
1986-10-01,314091.0
1987-01-01,315040.0
1987-04-01,318747.0
1987-07-01,321043.0
1987-10-01,325709.0
1988-01-01,329990.0
1988-04-01,332486.0
1988-07-01,336787.0
1988-10-01,340439.0
1989-01-01,345494.0
1989-04-01,348614.0
1989-07-01,351453.0
1989-10-01,354206.0
1990-01-01,359655.0
1990-04-01,359900.0
1990-07-01,360253.0
1990-10-01,361181.0
1991-01-01,360760.0
1991-04-01,363397.0
1991-07-01,364655.0
1991-10-01,366883.0
1992-01-01,369944.0
1992-04-01,369436.0
1992-07-01,369254.0
1992-10-01,368343.0
1993-01-01,365754.0
1993-04-01,366592.0
1993-07-01,367739.0
1993-10-01,368719.0
1994-01-01,370473.0
1994-04-01,374778.0
1994-07-01,377441.0
1994-10-01,380148.0
1995-01-01,382274.0
1995-04-01,384169.0
1995-07-01,384334.0
1995-10-01,384744.0
1996-01-01,387559.0
1996-04-01,387958.0
1996-07-01,390264.0
1996-10-01,390739.0
1997-01-01,391817.0
1997-04-01,396976.0
1997-07-01,399860.0
1997-10-01,404316.0
1998-01-01,407800.0
1998-04-01,410752.0
1998-07-01,414218.0
1998-10-01,416879.0
1999-01-01,419263.0
1999-04-01,423061.0
1999-07-01,428217.0
1999-10-01,433505.0
2000-01-01,437833.0
2000-04-01,441656.0
2000-07-01,444891.0
2000-10-01,448268.0
2001-01-01,450393.0
2001-04-01,451546.0
2001-07-01,452811.0
2001-10-01,452832.0
2002-01-01,454611.0
2002-04-01,456314.0
2002-07-01,458094.0
2002-10-01,457964.0
2003-01-01,458828.0
2003-04-01,457924.0
2003-07-01,461219.0
2003-10-01,464629.0
2004-01-01,468974.0
2004-04-01,471539.0
2004-07-01,473304.0
2004-10-01,476503.0
2005-01-01,477749.0
2005-04-01,478558.0
2005-07-01,481063.0
2005-10-01,484231.0
2006-01-01,488282.0
2006-04-01,492692.0
2006-07-01,492945.0
2006-10-01,496302.0
2007-01-01,500187.0
2007-04-01,503787.0
2007-07-01,505632.0
2007-10-01,507020.0
2008-01-01,508871.0
2008-04-01,506628.0
2008-07-01,505000.0
2008-10-01,497610.0
2009-01-01,489306.0
2009-04-01,488509.0
2009-07-01,489552.0
2009-10-01,492577.0
2010-01-01,494775.0
2010-04-01,497688.0
2010-07-01,500842.0
2010-10-01,503756.0
2011-01-01,509055.0
2011-04-01,509072.0
2011-07-01,510279.0
2011-10-01,510788.0
2012-01-01,511102.0
2012-04-01,510709.0
2012-07-01,511243.0
2012-10-01,510812.0
2013-01-01,510845.0
2013-04-01,514395.0
2013-07-01,514337.0
2013-10-01,516630.0
2014-01-01,516972.0
2014-04-01,517973.0
2014-07-01,520794.0
2014-10-01,520843.0
2015-01-01,522948.0
2015-04-01,522824.0
2015-07-01,524974.0
2015-10-01,526173.0
2016-01-01,529430.0
2016-04-01,528970.0
2016-07-01,529801.0
2016-10-01,532264.0
2017-01-01,535988.0
2017-04-01,539312.0
2017-07-01,542169.0
2017-10-01,545905.0
2018-01-01,547289.0
