DATE,CLVMNACSCAB1GQEL
1995-01-01,39193.1
1995-04-01,39577.6
1995-07-01,39799.0
1995-10-01,40026.9
1996-01-01,40234.9
1996-04-01,40470.5
1996-07-01,41022.5
1996-10-01,41460.6
1997-01-01,41698.9
1997-04-01,42407.9
1997-07-01,43087.8
1997-10-01,43500.9
1998-01-01,44021.5
1998-04-01,44213.3
1998-07-01,44356.2
1998-10-01,44711.7
1999-01-01,45062.8
1999-04-01,45465.3
1999-07-01,45635.9
1999-10-01,46366.4
2000-01-01,46540.0
2000-04-01,46971.0
2000-07-01,47867.9
2000-10-01,48551.2
2001-01-01,49127.9
2001-04-01,49013.8
2001-07-01,49815.2
2001-10-01,49931.5
2002-01-01,50353.0
2002-04-01,51481.6
2002-07-01,51770.7
2002-10-01,52174.0
2003-01-01,53271.6
2003-04-01,54208.7
2003-07-01,54540.9
2003-10-01,55710.6
2004-01-01,56730.2
2004-04-01,56704.2
2004-07-01,57458.7
2004-10-01,57227.9
2005-01-01,56920.8
2005-04-01,57036.0
2005-07-01,57837.3
2005-10-01,58137.5
2006-01-01,60015.0
2006-04-01,60217.9
2006-07-01,60500.6
2006-10-01,62041.0
2007-01-01,61535.4
2007-04-01,63351.4
2007-07-01,62954.8
2007-10-01,62625.0
2008-01-01,63016.8
2008-04-01,62620.5
2008-07-01,62554.5
2008-10-01,61691.7
2009-01-01,58768.5
2009-04-01,60383.2
2009-07-01,59929.5
2009-10-01,60025.0
2010-01-01,59055.3
2010-04-01,57224.2
2010-07-01,55208.6
2010-10-01,54558.6
2011-01-01,52986.8
2011-04-01,52170.5
2011-07-01,51098.8
2011-10-01,49062.7
2012-01-01,48530.9
2012-04-01,47655.0
2012-07-01,47065.4
2012-10-01,47037.6
2013-01-01,46006.4
2013-04-01,46042.0
2013-07-01,46245.6
2013-10-01,45967.2
2014-01-01,46350.0
2014-04-01,46268.5
2014-07-01,46838.5
2014-10-01,46226.8
2015-01-01,46373.0
2015-04-01,46462.5
2015-07-01,45724.4
2015-10-01,46478.4
2016-01-01,46190.5
2016-04-01,46026.4
2016-07-01,46260.2
2016-10-01,46079.5
2017-01-01,46374.6
2017-04-01,46721.4
2017-07-01,46908.1
2017-10-01,46953.1
