DATE,CLVMEURNSAB1GQIE
1995-01-01,19490.0
1995-04-01,20279.9
1995-07-01,20501.6
1995-10-01,20409.1
1996-01-01,21167.2
1996-04-01,22150.4
1996-07-01,21780.3
1996-10-01,21788.5
1997-01-01,22822.9
1997-04-01,24273.1
1997-07-01,24495.7
1997-10-01,24763.3
1998-01-01,25205.4
1998-04-01,26140.3
1998-07-01,27118.3
1998-10-01,26244.1
1999-01-01,27669.1
1999-04-01,28168.1
1999-07-01,29674.1
1999-10-01,30216.6
2000-01-01,30234.6
2000-04-01,31250.9
2000-07-01,32366.9
2000-10-01,32819.1
2001-01-01,32546.6
2001-04-01,33248.1
2001-07-01,33309.9
2001-10-01,34304.7
2002-01-01,34310.8
2002-04-01,34973.7
2002-07-01,35422.2
2002-10-01,36611.1
2003-01-01,35024.5
2003-04-01,35921.0
2003-07-01,35726.1
2003-10-01,38821.7
2004-01-01,37640.0
2004-04-01,38960.9
2004-07-01,38157.7
2004-10-01,40295.3
2005-01-01,39829.6
2005-04-01,41202.9
2005-07-01,40300.6
2005-10-01,42508.8
2006-01-01,42421.1
2006-04-01,42738.3
2006-07-01,43152.4
2006-10-01,43795.3
2007-01-01,45804.4
2007-04-01,45250.4
2007-07-01,44138.5
2007-10-01,46051.0
2008-01-01,44582.8
2008-04-01,43679.0
2008-07-01,43669.5
2008-10-01,41328.6
2009-01-01,41435.0
2009-04-01,41580.3
2009-07-01,41360.8
2009-10-01,40182.1
2010-01-01,41473.6
2010-04-01,42032.5
2010-07-01,42817.3
2010-10-01,41397.9
2011-01-01,43081.0
2011-04-01,43579.4
2011-07-01,44266.9
2011-10-01,43034.8
2012-01-01,43060.3
2012-04-01,43729.9
2012-07-01,44254.2
2012-10-01,43235.4
2013-01-01,42409.6
2013-04-01,43735.2
2013-07-01,46149.5
2013-10-01,44315.5
2014-01-01,45979.8
2014-04-01,47365.5
2014-07-01,49917.6
2014-10-01,48889.5
2015-01-01,59432.9
2015-04-01,57563.1
2015-07-01,62172.0
2015-10-01,61247.8
2016-01-01,60851.6
2016-04-01,59437.6
2016-07-01,63068.9
2016-10-01,69048.7
2017-01-01,62586.8
2017-04-01,63127.9
2017-07-01,71412.9
2017-10-01,73507.4
2018-01-01,68253.9
