DATE,CLVMNACSCAB1GQIT
1995-01-01,351786.0
1995-04-01,352890.0
1995-07-01,352158.0
1995-10-01,355198.0
1996-01-01,357794.5
1996-04-01,355930.2
1996-07-01,356733.7
1996-10-01,356519.8
1997-01-01,357479.7
1997-04-01,362337.0
1997-07-01,364521.7
1997-10-01,370513.3
1998-01-01,368105.8
1998-04-01,369528.4
1998-07-01,370021.4
1998-10-01,368302.5
1999-01-01,370479.3
1999-04-01,372064.4
1999-07-01,375170.4
1999-10-01,380487.1
2000-01-01,384910.9
2000-04-01,387654.5
2000-07-01,389747.1
2000-10-01,395754.0
2001-01-01,397200.3
2001-04-01,396118.3
2001-07-01,394439.1
2001-10-01,394633.4
2002-01-01,394309.8
2002-04-01,396248.9
2002-07-01,397100.5
2002-10-01,398641.6
2003-01-01,397450.2
2003-04-01,396197.4
2003-07-01,396651.9
2003-10-01,399827.2
2004-01-01,401674.8
2004-04-01,402981.0
2004-07-01,403365.5
2004-10-01,404025.1
2005-01-01,403018.3
2005-04-01,406933.0
2005-07-01,409647.7
2005-10-01,410799.0
2006-01-01,412265.2
2006-04-01,414694.0
2006-07-01,416166.0
2006-10-01,421584.0
2007-01-01,422262.4
2007-04-01,421838.8
2007-07-01,421684.3
2007-10-01,421060.8
2008-01-01,425734.7
2008-04-01,421547.1
2008-07-01,415652.9
2008-10-01,406226.7
2009-01-01,395045.5
2009-04-01,391907.1
2009-07-01,394141.4
2009-10-01,395692.5
2010-01-01,397357.9
2010-04-01,399540.0
2010-07-01,401649.8
2010-10-01,404228.7
2011-01-01,405479.1
2011-04-01,405738.7
2011-07-01,403367.0
2011-10-01,399732.2
2012-01-01,396223.8
2012-04-01,392591.3
2012-07-01,390822.7
2012-10-01,388643.3
2013-01-01,384655.4
2013-04-01,384689.2
2013-07-01,385982.7
2013-10-01,385519.5
2014-01-01,385661.3
2014-04-01,385369.5
2014-07-01,386248.7
2014-10-01,386376.7
2015-01-01,387346.6
2015-04-01,388816.5
2015-07-01,389685.6
2015-10-01,390599.9
2016-01-01,391659.7
2016-04-01,392074.5
2016-07-01,392995.0
2016-10-01,394850.4
2017-01-01,396824.5
2017-04-01,398462.4
2017-07-01,399892.1
2017-10-01,401114.3
2018-01-01,402272.2
