DATE,CLVMNACSCAB1GQPT
1995-01-01,33762.1
1995-04-01,34184.0
1995-07-01,34338.6
1995-10-01,34588.9
1996-01-01,34795.7
1996-04-01,35231.9
1996-07-01,35746.7
1996-10-01,35885.4
1997-01-01,36424.6
1997-04-01,36754.1
1997-07-01,37251.8
1997-10-01,37499.3
1998-01-01,38032.5
1998-04-01,38590.7
1998-07-01,39052.6
1998-10-01,39342.5
1999-01-01,39861.6
1999-04-01,40070.2
1999-07-01,40422.2
1999-10-01,40691.6
2000-01-01,41598.7
2000-04-01,41356.8
2000-07-01,41935.7
2000-10-01,42254.1
2001-01-01,42153.7
2001-04-01,42512.3
2001-07-01,42566.5
2001-10-01,43160.9
2002-01-01,43271.3
2002-04-01,43075.3
2002-07-01,42812.9
2002-10-01,42543.9
2003-01-01,42570.2
2003-04-01,42229.5
2003-07-01,42545.5
2003-10-01,42754.1
2004-01-01,43144.9
2004-04-01,43406.9
2004-07-01,43353.6
2004-10-01,43275.5
2005-01-01,43603.2
2005-04-01,43785.8
2005-07-01,43514.4
2005-10-01,43605.3
2006-01-01,43955.1
2006-04-01,44363.5
2006-07-01,44287.4
2006-10-01,44613.0
2007-01-01,45111.7
2007-04-01,45288.3
2007-07-01,45367.1
2007-10-01,45868.2
2008-01-01,45881.5
2008-04-01,45646.5
2008-07-01,45540.6
2008-10-01,44928.6
2009-01-01,43895.3
2009-04-01,43954.1
2009-07-01,44365.3
2009-10-01,44362.5
2010-01-01,44785.4
2010-04-01,45035.8
2010-07-01,45117.2
2010-10-01,44991.4
2011-01-01,44653.4
2011-04-01,44450.0
2011-07-01,44118.7
2011-10-01,43420.6
2012-01-01,43232.4
2012-04-01,42639.9
2012-07-01,42173.2
2012-10-01,41481.6
2013-01-01,41608.1
2013-04-01,41902.8
2013-07-01,41851.4
2013-10-01,42248.9
2014-01-01,42040.8
2014-04-01,42214.3
2014-07-01,42290.0
2014-10-01,42563.2
2015-01-01,42844.3
2015-04-01,43033.7
2015-07-01,43086.1
2015-10-01,43225.5
2016-01-01,43320.0
2016-04-01,43424.6
2016-07-01,43962.8
2016-10-01,44270.6
2017-01-01,44593.0
2017-04-01,44736.7
2017-07-01,45008.7
2017-10-01,45313.3
