DATE,CLVMNACSCAB1GQES
1995-01-01,175970.0
1995-04-01,177180.0
1995-07-01,178023.0
1995-10-01,179277.0
1996-01-01,180434.0
1996-04-01,181582.0
1996-07-01,183351.0
1996-10-01,184085.0
1997-01-01,186181.0
1997-04-01,187882.0
1997-07-01,189782.0
1997-10-01,192523.0
1998-01-01,194436.0
1998-04-01,195906.0
1998-07-01,198255.0
1998-10-01,200338.0
1999-01-01,201961.0
1999-04-01,205006.0
1999-07-01,207455.0
1999-10-01,209896.0
2000-01-01,213243.0
2000-04-01,215860.0
2000-07-01,218203.0
2000-10-01,220611.0
2001-01-01,222813.0
2001-04-01,224584.0
2001-07-01,226819.0
2001-10-01,228427.0
2002-01-01,229727.0
2002-04-01,231454.0
2002-07-01,232854.0
2002-10-01,234603.0
2003-01-01,236918.0
2003-04-01,238527.0
2003-07-01,240164.0
2003-10-01,242630.0
2004-01-01,244104.0
2004-04-01,245998.0
2004-07-01,248476.0
2004-10-01,250005.0
2005-01-01,252534.0
2005-04-01,255108.0
2005-07-01,257527.0
2005-10-01,260220.0
2006-01-01,263038.0
2006-04-01,265785.0
2006-07-01,268409.0
2006-10-01,270958.0
2007-01-01,273730.0
2007-04-01,275950.0
2007-07-01,278188.0
2007-10-01,280582.0
2008-01-01,281862.0
2008-04-01,282019.0
2008-07-01,279888.0
2008-10-01,277069.0
2009-01-01,272638.0
2009-04-01,269998.0
2009-07-01,269158.0
2009-10-01,268989.0
2010-01-01,269801.0
2010-04-01,270292.0
2010-07-01,270423.0
2010-10-01,270419.0
2011-01-01,269444.0
2011-04-01,268153.0
2011-07-01,267063.0
2011-10-01,265479.0
2012-01-01,263175.0
2012-04-01,260671.0
2012-07-01,258745.0
2012-10-01,256217.0
2013-01-01,255338.0
2013-04-01,255124.0
2013-07-01,254950.0
2013-10-01,255677.0
2014-01-01,256688.0
2014-04-01,257680.0
2014-07-01,259433.0
2014-10-01,261379.0
2015-01-01,264129.0
2015-04-01,266370.0
2015-07-01,268872.0
2015-10-01,271339.0
2016-01-01,273372.0
2016-04-01,275524.0
2016-07-01,277490.0
2016-10-01,279384.0
2017-01-01,281581.0
2017-04-01,284016.0
2017-07-01,285992.0
2017-10-01,287927.0
