DATE,CLVMNACSCAB1GQUK
1975-01-01,180439.2
1975-04-01,177473.9
1975-07-01,176889.9
1975-10-01,178909.7
1976-01-01,181756.4
1976-04-01,181440.3
1976-07-01,183704.9
1976-10-01,187580.5
1977-01-01,187686.2
1977-04-01,186302.2
1977-07-01,187603.7
1977-10-01,190834.2
1978-01-01,192486.9
1978-04-01,194828.4
1978-07-01,197461.0
1978-10-01,199265.8
1979-01-01,198489.0
1979-04-01,207290.5
1979-07-01,202734.5
1979-10-01,204862.8
1980-01-01,202860.5
1980-04-01,198859.8
1980-07-01,198629.0
1980-10-01,196534.0
1981-01-01,196208.7
1981-04-01,196674.9
1981-07-01,198812.5
1981-10-01,199043.3
1982-01-01,199371.5
1982-04-01,201603.6
1982-07-01,202119.9
1982-10-01,203542.8
1983-01-01,207235.8
1983-04-01,209007.2
1983-07-01,211311.6
1983-10-01,213138.7
1984-01-01,214604.2
1984-04-01,212735.4
1984-07-01,214119.4
1984-10-01,218370.4
1985-01-01,220210.4
1985-04-01,224906.4
1985-07-01,225117.8
1985-10-01,225667.4
1986-01-01,228199.0
1986-04-01,229863.8
1986-07-01,230881.6
1986-10-01,234948.2
1987-01-01,237054.2
1987-04-01,240483.0
1987-07-01,246295.1
1987-10-01,249087.1
1988-01-01,253563.4
1988-04-01,255079.0
1988-07-01,258981.5
1988-10-01,261215.4
1989-01-01,262351.0
1989-04-01,264059.3
1989-07-01,264312.4
1989-10-01,264551.6
1990-01-01,266332.3
1990-04-01,267702.3
1990-07-01,264923.3
1990-10-01,264039.0
1991-01-01,263295.5
1991-04-01,262976.7
1991-07-01,262376.9
1991-10-01,262797.8
1992-01-01,262782.9
1992-04-01,262459.4
1992-07-01,264139.1
1992-10-01,265997.6
1993-01-01,267944.2
1993-04-01,269306.9
1993-07-01,271473.2
1993-10-01,273323.4
1994-01-01,276610.4
1994-04-01,279820.4
1994-07-01,282996.2
1994-10-01,284604.5
1995-01-01,285558.3
1995-04-01,286589.1
1995-07-01,289408.0
1995-10-01,290236.7
1996-01-01,292873.9
1996-04-01,293797.1
1996-07-01,295788.3
1996-10-01,298573.8
1997-01-01,302890.6
1997-04-01,306136.8
1997-07-01,307961.1
1997-10-01,311736.6
1998-01-01,313461.7
1998-04-01,315298.9
1998-07-01,317605.2
1998-10-01,320914.4
1999-01-01,322845.3
1999-04-01,323069.6
1999-07-01,328738.0
1999-10-01,333391.3
2000-01-01,336499.4
2000-04-01,338917.8
2000-07-01,339921.7
2000-10-01,340634.6
2001-01-01,344079.2
2001-04-01,346925.8
2001-07-01,349158.9
2001-10-01,350307.4
2002-01-01,351997.2
2002-04-01,354521.4
2002-07-01,357375.5
2002-10-01,360753.3
2003-01-01,362994.7
2003-04-01,366283.6
2003-07-01,369936.7
2003-10-01,372814.9
2004-01-01,374746.7
2004-04-01,376328.1
2004-07-01,377195.7
2004-10-01,378564.8
2005-01-01,381771.2
2005-04-01,385948.1
2005-07-01,390023.9
2005-10-01,395745.1
2006-01-01,396787.0
2006-04-01,397590.7
2006-07-01,397905.9
2006-10-01,399357.5
2007-01-01,402959.6
2007-04-01,405844.3
2007-07-01,408531.6
2007-10-01,411815.8
2008-01-01,412936.5
2008-04-01,410144.5
2008-07-01,403577.9
2008-10-01,394794.1
2009-01-01,388484.2
2009-04-01,387609.2
2009-07-01,388210.8
2009-10-01,389246.2
2010-01-01,391340.2
2010-04-01,394861.7
2010-07-01,396694.3
2010-10-01,396980.8
2011-01-01,399311.1
2011-04-01,399902.5
2011-07-01,401424.6
2011-10-01,402187.5
2012-01-01,404787.6
2012-04-01,404355.6
2012-07-01,409009.9
2012-10-01,408416.7
2013-01-01,411024.2
2013-04-01,413246.1
2013-07-01,416760.2
2013-10-01,418922.8
2014-01-01,422521.3
2014-04-01,426125.3
2014-07-01,429368.7
2014-10-01,432637.2
2015-01-01,434119.4
2015-04-01,436614.8
2015-07-01,438433.5
2015-10-01,441615.7
2016-01-01,442550.1
2016-04-01,444656.2
2016-07-01,447061.6
2016-10-01,450407.0
2017-01-01,451820.6
2017-04-01,452934.8
2017-07-01,455022.3
2017-10-01,456791.9
2018-01-01,457248.9
