DATE,IRLTLT01IEM156N
1970-12-01,9.86
1971-01-01,9.82
1971-02-01,9.85
1971-03-01,9.51
1971-04-01,9.4
1971-05-01,9.29
1971-06-01,9.3
1971-07-01,9.36
1971-08-01,9.35
1971-09-01,9.11
1971-10-01,8.78
1971-11-01,8.61
1971-12-01,8.48
1972-01-01,8.37
1972-02-01,8.25
1972-03-01,8.38
1972-04-01,8.3
1972-05-01,8.64
1972-06-01,9.81
1972-07-01,9.76
1972-08-01,9.51
1972-09-01,9.46
1972-10-01,9.45
1972-11-01,9.47
1972-12-01,9.46
1973-01-01,9.56
1973-02-01,9.61
1973-03-01,10.01
1973-04-01,10
1973-05-01,10.04
1973-06-01,10.18
1973-07-01,10.76
1973-08-01,11.34
1973-09-01,11.42
1973-10-01,11.44
1973-11-01,11.92
1973-12-01,12.33
1974-01-01,13.24
1974-02-01,13.37
1974-03-01,13.8
1974-04-01,14.04
1974-05-01,13.76
1974-06-01,14.61
1974-07-01,14.48
1974-08-01,14.95
1974-09-01,14.66
1974-10-01,15.32
1974-11-01,16.35
1974-12-01,16.86
1975-01-01,15.2
1975-02-01,14.06
1975-03-01,13.18
1975-04-01,13.88
1975-05-01,13.64
1975-06-01,13.76
1975-07-01,13.16
1975-08-01,13.36
1975-09-01,13.81
1975-10-01,14.47
1975-11-01,14.45
1975-12-01,14.64
1976-01-01,13.77
1976-02-01,13.78
1976-03-01,14.11
1976-04-01,14.23
1976-05-01,14.14
1976-06-01,13.89
1976-07-01,14.14
1976-08-01,14.37
1976-09-01,15.23
1976-10-01,16.37
1976-11-01,15.84
1976-12-01,15.49
1977-01-01,14.09
1977-02-01,14.28
1977-03-01,12.7
1977-04-01,13.14
1977-05-01,13.45
1977-06-01,13.58
1977-07-01,13.86
1977-08-01,13.17
1977-09-01,11.87
1977-10-01,11.24
1977-11-01,11.96
1977-12-01,11.3
1978-01-01,11.68
1978-02-01,12.29
1978-03-01,12.28
1978-04-01,12.89
1978-05-01,13.26
1978-06-01,13.31
1978-07-01,12.62
1978-08-01,12.9
1978-09-01,13.08
1978-10-01,12.92
1978-11-01,13.34
1978-12-01,13.44
1979-01-01,14.35
1979-02-01,13.48
1979-03-01,13.33
1979-04-01,13.46
1979-05-01,13.81
1979-06-01,15.37
1979-07-01,15.99
1979-08-01,15.92
1979-09-01,15.72
1979-10-01,16.64
1979-11-01,16.42
1979-12-01,16.29
1980-01-01,15.95
1980-02-01,16.39
1980-03-01,16.82
1980-04-01,16.2
1980-05-01,15.78
1980-06-01,14.64
1980-07-01,14.08
1980-08-01,14.49
1980-09-01,14.57
1980-10-01,14.77
1980-11-01,14.91
1980-12-01,15.63
1981-01-01,16.13
1981-02-01,15.99
1981-03-01,16.18
1981-04-01,16.6
1981-05-01,16.99
1981-06-01,17.31
1981-07-01,17.44
1981-08-01,17.61
1981-09-01,18.22
1981-10-01,18.24
1981-11-01,18.16
1981-12-01,18.34
1982-01-01,19.11
1982-02-01,19.16
1982-03-01,18.83
1982-04-01,18.28
1982-05-01,18.28
1982-06-01,18.58
1982-07-01,17.33
1982-08-01,15.93
1982-09-01,15.17
1982-10-01,13.95
1982-11-01,15.53
1982-12-01,14.54
1983-01-01,14.98
1983-02-01,14.26
1983-03-01,13.96
1983-04-01,13.62
1983-05-01,13.51
1983-06-01,13.61
1983-07-01,13.81
1983-08-01,13.6
1983-09-01,13.72
1983-10-01,13.82
1983-11-01,13.72
1983-12-01,14.24
1984-01-01,13.94
1984-02-01,14.16
1984-03-01,14.08
1984-04-01,14.14
1984-05-01,14.49
1984-06-01,14.58
1984-07-01,14.89
1984-08-01,14.95
1984-09-01,14.98
1984-10-01,14.99
1984-11-01,15.25
1984-12-01,14.9
1985-01-01,14.85
1985-02-01,14.69
1985-03-01,14.08
1985-04-01,13.26
1985-05-01,13.03
1985-06-01,12.61
1985-07-01,11.81
1985-08-01,11.42
1985-09-01,11.7
1985-10-01,11.66
1985-11-01,12.19
1985-12-01,12.06
1986-01-01,12.29
1986-02-01,11.56
1986-03-01,10.26
1986-04-01,9.29
1986-05-01,9.3
1986-06-01,9.62
1986-07-01,10
1986-08-01,10.79
1986-09-01,11.72
1986-10-01,13.68
1986-11-01,13.25
1986-12-01,12.91
1987-01-01,12.53
1987-02-01,12.68
1987-03-01,11.96
1987-04-01,10.87
1987-05-01,10.56
1987-06-01,10.94
1987-07-01,11.08
1987-08-01,11.67
1987-09-01,11.23
1987-10-01,10.81
1987-11-01,10.33
1987-12-01,10.45
1988-01-01,10.3
1988-02-01,10.1
1988-03-01,9.82
1988-04-01,9.54
1988-05-01,9.58
1988-06-01,9.52
1988-07-01,9.41
1988-08-01,9.2
1988-09-01,9.08
1988-10-01,8.59
1988-11-01,8.67
1988-12-01,8.52
1989-01-01,8.46
1989-02-01,9
1989-03-01,8.8
1989-04-01,9.14
1989-05-01,9.47
1989-06-01,9.25
1989-07-01,8.64
1989-08-01,9.2
1989-09-01,9.21
1989-10-01,9.59
1989-11-01,9.66
1989-12-01,9.62
1990-01-01,9.7
1990-02-01,10.44
1990-03-01,10.95
1990-04-01,10.39
1990-05-01,10.2
1990-06-01,10.03
1990-07-01,9.68
1990-08-01,10.3
1990-09-01,10.74
1990-10-01,10.47
1990-11-01,10.34
1990-12-01,10.05
1991-01-01,10.05
1991-02-01,9.59
1991-03-01,9.35
1991-04-01,9.34
1991-05-01,9.26
1991-06-01,9.19
1991-07-01,9.4
1991-08-01,9.35
1991-09-01,9.29
1991-10-01,9.22
1991-11-01,9.22
1991-12-01,9.23
1992-01-01,8.86
1992-02-01,8.77
1992-03-01,8.99
1992-04-01,8.95
1992-05-01,8.82
1992-06-01,8.99
1992-07-01,9.22
1992-08-01,9.23
1992-09-01,9.94
1992-10-01,9.54
1992-11-01,10.38
1992-12-01,10.11
1993-01-01,9.68
1993-02-01,9.13
1993-03-01,8.28
1993-04-01,8.1
1993-05-01,7.82
1993-06-01,7.33
1993-07-01,7.31
1993-08-01,6.95
1993-09-01,6.99
1993-10-01,6.59
1993-11-01,6.51
1993-12-01,6.26
1994-01-01,6.14
1994-02-01,6.74
1994-03-01,7.33
1994-04-01,7.67
1994-05-01,8.45
1994-06-01,8.64
1994-07-01,8.44
1994-08-01,8.44
1994-09-01,8.89
1994-10-01,8.62
1994-11-01,8.4
1994-12-01,8.76
1995-01-01,8.67
1995-02-01,8.74
1995-03-01,8.86
1995-04-01,8.66
1995-05-01,8.1
1995-06-01,8.58
1995-07-01,8.32
1995-08-01,8.09
1995-09-01,8.07
1995-10-01,7.85
1995-11-01,7.43
1995-12-01,7.34
1996-01-01,7.21
1996-02-01,7.74
1996-03-01,7.89
1996-04-01,7.35
1996-05-01,7.55
1996-06-01,7.49
1996-07-01,7.52
1996-08-01,7.5
1996-09-01,6.88
1996-10-01,6.83
1996-11-01,6.45
1996-12-01,6.58
1997-01-01,6.54
1997-02-01,6.34
1997-03-01,6.79
1997-04-01,6.62
1997-05-01,6.61
1997-06-01,6.44
1997-07-01,6.21
1997-08-01,6.29
1997-09-01,5.94
1997-10-01,6.03
1997-11-01,5.78
1997-12-01,5.48
1998-01-01,5.29
1998-02-01,5.18
1998-03-01,5.07
1998-04-01,5.16
1998-05-01,5.08
1998-06-01,5
1998-07-01,4.87
1998-08-01,4.59
1998-09-01,4.22
1998-10-01,4.35
1998-11-01,4.16
1998-12-01,3.99
1999-01-01,3.84
1999-02-01,4.18
1999-03-01,4.1
1999-04-01,3.89
1999-05-01,4.34
1999-06-01,4.78
1999-07-01,5.06
1999-08-01,5.17
1999-09-01,5.37
1999-10-01,5.44
1999-11-01,5.46
1999-12-01,5.6
2000-01-01,5.78
2000-02-01,5.75
2000-03-01,5.45
2000-04-01,5.52
2000-05-01,5.47
2000-06-01,5.48
2000-07-01,5.46
2000-08-01,5.58
2000-09-01,5.46
2000-10-01,5.48
2000-11-01,5.24
2000-12-01,5.07
2001-01-01,5.02
2001-02-01,4.98
2001-03-01,4.95
2001-04-01,5.27
2001-05-01,5.37
2001-06-01,5.3
2001-07-01,5.07
2001-08-01,4.95
2001-09-01,4.95
2001-10-01,4.53
2001-11-01,4.73
2001-12-01,5.11
2002-01-01,5.21
2002-02-01,5.22
2002-03-01,5.47
2002-04-01,5.37
2002-05-01,5.38
2002-06-01,5.16
2002-07-01,5.01
2002-08-01,4.82
2002-09-01,4.54
2002-10-01,4.74
2002-11-01,4.63
2002-12-01,4.3
2003-01-01,4.16
2003-02-01,3.99
2003-03-01,4.1
2003-04-01,4.15
2003-05-01,3.8
2003-06-01,3.84
2003-07-01,4.19
2003-08-01,4.21
2003-09-01,3.99
2003-10-01,4.32
2003-11-01,4.44
2003-12-01,4.31
2004-01-01,4.27
2004-02-01,4.1
2004-03-01,3.98
2004-04-01,4.23
2004-05-01,4.3
2004-06-01,4.35
2004-07-01,4.22
2004-08-01,4.02
2004-09-01,3.98
2004-10-01,3.87
2004-11-01,3.75
2004-12-01,3.67
2005-01-01,3.48
2005-02-01,3.65
2005-03-01,3.6
2005-04-01,3.38
2005-05-01,3.23
2005-06-01,3.13
2005-07-01,3.21
2005-08-01,3.05
2005-09-01,3.08
2005-10-01,3.33
2005-11-01,3.44
2005-12-01,3.27
2006-01-01,3.46
2006-02-01,3.49
2006-03-01,3.78
2006-04-01,3.97
2006-05-01,3.93
2006-06-01,4.08
2006-07-01,3.91
2006-08-01,3.75
2006-09-01,3.67
2006-10-01,3.78
2006-11-01,3.7
2006-12-01,3.95
2007-01-01,4.12
2007-02-01,3.97
2007-03-01,4.07
2007-04-01,4.2
2007-05-01,4.44
2007-06-01,4.62
2007-07-01,4.45
2007-08-01,4.38
2007-09-01,4.42
2007-10-01,4.4
2007-11-01,4.37
2007-12-01,4.5
2008-01-01,4.21
2008-02-01,4.22
2008-03-01,4.3
2008-04-01,4.59
2008-05-01,4.73
2008-06-01,4.96
2008-07-01,4.78
2008-08-01,4.56
2008-09-01,4.56
2008-10-01,4.55
2008-11-01,4.57
2008-12-01,4.57
2009-01-01,5.7
2009-02-01,5.75
2009-03-01,5.52
2009-04-01,5.27
2009-05-01,5.53
2009-06-01,5.79
2009-07-01,5.04
2009-08-01,4.87
2009-09-01,4.71
2009-10-01,4.76
2009-11-01,4.91
2009-12-01,4.94
2010-01-01,4.83
2010-02-01,4.59
2010-03-01,4.53
2010-04-01,5.2
2010-05-01,4.74
2010-06-01,5.5
2010-07-01,5.04
2010-08-01,5.68
2010-09-01,6.57
2010-10-01,6.92
2010-11-01,9.25
2010-12-01,9.06
2011-01-01,9.15
2011-02-01,9.29
2011-03-01,10.22
2011-04-01,10.47
2011-05-01,11.03
2011-06-01,11.7
2011-07-01,10.85
2011-08-01,8.63
2011-09-01,7.64
2011-10-01,8.15
2011-11-01,9.32
2011-12-01,8.48
2012-01-01,7.29
2012-02-01,7.01
2012-03-01,6.84
2012-04-01,6.82
2012-05-01,7.23
2012-06-01,6.33
2012-07-01,5.98
2012-08-01,5.86
2012-09-01,5
2012-10-01,4.66
2012-11-01,4.43
2012-12-01,4.45
2013-01-01,4.06
2013-02-01,3.77
2013-03-01,4.22
2013-04-01,3.52
2013-05-01,3.85
2013-06-01,4.07
2013-07-01,3.88
2013-08-01,4.19
2013-09-01,3.88
2013-10-01,3.5
2013-11-01,3.53
2013-12-01,3.47
2014-01-01,3.31
2014-02-01,3.1
2014-03-01,3.01
2014-04-01,2.82
2014-05-01,2.59
2014-06-01,2.36
2014-07-01,2.21
2014-08-01,1.78
2014-09-01,1.65
2014-10-01,1.71
2014-11-01,1.38
2014-12-01,1.25
2015-01-01,1.16
2015-02-01,0.86
2015-03-01,0.75
2015-04-01,0.93
2015-05-01,1.26
2015-06-01,1.26
2015-07-01,1.18
2015-08-01,1.46
2015-09-01,1.24
2015-10-01,1.11
2015-11-01,1.0
2015-12-01,1.15
2016-01-01,0.96
2016-02-01,0.88
2016-03-01,0.73
2016-04-01,0.96
2016-05-01,0.76
2016-06-01,0.52
2016-07-01,0.43
2016-08-01,0.43
2016-09-01,0.32
