DATE,IRLTLT01NLM156N
1960-01-01,4.56
1960-02-01,4.6
1960-03-01,4.51
1960-04-01,4.49
1960-05-01,4.56
1960-06-01,4.49
1960-07-01,4.39
1960-08-01,4.4
1960-09-01,4.41
1960-10-01,4.35
1960-11-01,4.36
1960-12-01,4.34
1961-01-01,4.34
1961-02-01,4.3
1961-03-01,4.26
1961-04-01,4.12
1961-05-01,4.05
1961-06-01,4.09
1961-07-01,4.14
1961-08-01,4.23
1961-09-01,4.15
1961-10-01,4.14
1961-11-01,4.18
1961-12-01,4.15
1962-01-01,4.08
1962-02-01,4.02
1962-03-01,4.15
1962-04-01,4.22
1962-05-01,4.29
1962-06-01,4.45
1962-07-01,4.44
1962-08-01,4.26
1962-09-01,4.2
1962-10-01,4.25
1962-11-01,4.26
1962-12-01,4.21
1963-01-01,4.22
1963-02-01,4.25
1963-03-01,4.2
1963-04-01,4.16
1963-05-01,4.2
1963-06-01,4.25
1963-07-01,4.27
1963-08-01,4.23
1963-09-01,4.23
1963-10-01,4.41
1963-11-01,4.59
1963-12-01,4.7
1964-01-01,4.83
1964-02-01,4.82
1964-03-01,4.88
1964-04-01,4.9
1964-05-01,4.93
1964-06-01,5.01
1964-07-01,5.32
1964-08-01,5.38
1964-09-01,5.13
1964-10-01,5.2
1964-11-01,5.32
1964-12-01,5.35
1965-01-01,5.16
1965-02-01,5.07
1965-03-01,5.12
1965-04-01,5.21
1965-05-01,5.39
1965-06-01,5.48
1965-07-01,5.64
1965-08-01,5.56
1965-09-01,5.54
1965-10-01,5.76
1965-11-01,5.99
1965-12-01,6.09
1966-01-01,6.17
1966-02-01,6.31
1966-03-01,6.44
1966-04-01,6.5
1966-05-01,6.77
1966-06-01,6.73
1966-07-01,6.59
1966-08-01,6.79
1966-09-01,6.65
1966-10-01,6.65
1966-11-01,6.73
1966-12-01,6.67
1967-01-01,6.45
1967-02-01,6.53
1967-03-01,6.42
1967-04-01,6.33
1967-05-01,6.38
1967-06-01,6.49
1967-07-01,6.44
1967-08-01,6.41
1967-09-01,6.38
1967-10-01,6.38
1967-11-01,6.49
1967-12-01,6.39
1968-01-01,6.44
1968-02-01,6.48
1968-03-01,6.51
1968-04-01,6.45
1968-05-01,6.47
1968-06-01,6.53
1968-07-01,6.59
1968-08-01,6.58
1968-09-01,6.51
1968-10-01,6.52
1968-11-01,6.55
1968-12-01,6.6
1969-01-01,6.72
1969-02-01,6.93
1969-03-01,7.09
1969-04-01,7.27
1969-05-01,7.28
1969-06-01,7.53
1969-07-01,7.64
1969-08-01,7.7
1969-09-01,7.92
1969-10-01,7.94
1969-11-01,7.76
1969-12-01,7.9
1970-01-01,7.93
1970-02-01,8.01
1970-03-01,8.03
1970-04-01,8.06
1970-05-01,8.15
1970-06-01,8.17
1970-07-01,8.02
1970-08-01,8.01
1970-09-01,8.02
1970-10-01,8.01
1970-11-01,7.95
1970-12-01,7.77
1971-01-01,7.55
1971-02-01,7.57
1971-03-01,7.56
1971-04-01,7.38
1971-05-01,7.55
1971-06-01,7.56
1971-07-01,7.61
1971-08-01,7.59
1971-09-01,7.85
1971-10-01,7.74
1971-11-01,7.76
1971-12-01,7.79
1972-01-01,7.52
1972-02-01,7.32
1972-03-01,7.26
1972-04-01,7.36
1972-05-01,7.51
1972-06-01,7.56
1972-07-01,7.47
1972-08-01,7.23
1972-09-01,7.05
1972-10-01,7.15
1972-11-01,7.32
1972-12-01,7.5
1973-01-01,7.46
1973-02-01,7.4
1973-03-01,7.28
1973-04-01,7.41
1973-05-01,7.45
1973-06-01,7.8
1973-07-01,8
1973-08-01,8.44
1973-09-01,8.42
1973-10-01,8.24
1973-11-01,8.09
1973-12-01,9.01
1974-01-01,9.26
1974-02-01,9.35
1974-03-01,9.34
1974-04-01,9.77
1974-05-01,10.22
1974-06-01,10.15
1974-07-01,10.44
1974-08-01,10.45
1974-09-01,10.43
1974-10-01,10.25
1974-11-01,9.14
1974-12-01,9.09
1975-01-01,8.95
1975-02-01,8.8
1975-03-01,8.82
1975-04-01,8.89
1975-05-01,8.54
1975-06-01,8.33
1975-07-01,8.75
1975-08-01,8.94
1975-09-01,8.97
1975-10-01,8.97
1975-11-01,8.87
1975-12-01,8.61
1976-01-01,8.47
1976-02-01,8.25
1976-03-01,8.32
1976-04-01,8.4
1976-05-01,8.69
1976-06-01,9.34
1976-07-01,9.63
1976-08-01,10.03
1976-09-01,9.8
1976-10-01,9.32
1976-11-01,8.78
1976-12-01,8.4
1977-01-01,8.4
1977-02-01,8.38
1977-03-01,8.29
1977-04-01,8.11
1977-05-01,8.12
1977-06-01,8.17
1977-07-01,7.93
1977-08-01,7.7
1977-09-01,7.83
1977-10-01,8.03
1977-11-01,8.14
1977-12-01,8.11
1978-01-01,7.73
1978-02-01,7.54
1978-03-01,7.46
1978-04-01,7.27
1978-05-01,7.4
1978-06-01,7.35
1978-07-01,7.7
1978-08-01,7.78
1978-09-01,7.78
1978-10-01,8.28
1978-11-01,8.06
1978-12-01,8.48
1979-01-01,8.27
1979-02-01,8.37
1979-03-01,8.52
1979-04-01,8.58
1979-05-01,8.77
1979-06-01,9.01
1979-07-01,8.98
1979-08-01,8.73
1979-09-01,8.77
1979-10-01,8.83
1979-11-01,9.18
1979-12-01,9.29
1980-01-01,9.41
1980-02-01,10.37
1980-03-01,11.45
1980-04-01,10.59
1980-05-01,9.97
1980-06-01,9.99
1980-07-01,9.66
1980-08-01,9.67
1980-09-01,10.25
1980-10-01,10.2
1980-11-01,10.46
1980-12-01,10.48
1981-01-01,10.43
1981-02-01,10.96
1981-03-01,11.38
1981-04-01,11.29
1981-05-01,11.9
1981-06-01,11.43
1981-07-01,11.57
1981-08-01,12.12
1981-09-01,12.3
1981-10-01,12.1
1981-11-01,11.87
1981-12-01,11.28
1982-01-01,11.23
1982-02-01,10.98
1982-03-01,10.37
1982-04-01,10.17
1982-05-01,10.15
1982-06-01,10.53
