DATE,IRLTLT01ESM156N
1980-01-01,15.5
1980-02-01,15.4
1980-03-01,15.72
1980-04-01,15.98
1980-05-01,15.9
1980-06-01,15.06
1980-07-01,15.78
1980-08-01,16.21
1980-09-01,16.33
1980-10-01,16.71
1980-11-01,16.71
1980-12-01,16.23
1981-01-01,16.03
1981-02-01,16.34
1981-03-01,16.28
1981-04-01,15.85
1981-05-01,15.99
1981-06-01,15.52
1981-07-01,14.99
1981-08-01,15.09
1981-09-01,15.73
1981-10-01,15.96
1981-11-01,16.2
1981-12-01,15.76
1982-01-01,15.52
1982-02-01,15.96
1982-03-01,15.92
1982-04-01,16.18
1982-05-01,15.74
1982-06-01,16.08
1982-07-01,16.06
1982-08-01,16.07
1982-09-01,16.06
1982-10-01,16.48
1982-11-01,16.23
1982-12-01,15.55
1983-01-01,15.81
1983-02-01,15.4
1983-03-01,15.82
1983-04-01,16.4
1983-05-01,17.02
1983-06-01,16.7
1983-07-01,16.94
1983-08-01,17.63
1983-09-01,17.75
1983-10-01,18.11
1983-11-01,18.1
1983-12-01,17.23
1984-01-01,17.19
1984-02-01,16.88
1984-03-01,17.27
1984-04-01,17.55
1984-05-01,17.57
1984-06-01,17.11
1984-07-01,16.95
1984-08-01,16.88
1984-09-01,16.42
1984-10-01,15.55
1984-11-01,14.98
1984-12-01,13.92
1985-01-01,13.2
1985-02-01,13.22
1985-03-01,13.46
1985-04-01,13.4
1985-05-01,13.57
1985-06-01,13.79
1985-07-01,14.44
1985-08-01,14.39
1985-09-01,13.92
1985-10-01,12.6
1985-11-01,12.1
1985-12-01,12.32
1986-01-01,12.34
1986-02-01,12.36
1986-03-01,12.24
1986-04-01,12.06
1986-05-01,11.35
1986-06-01,10.97
1986-07-01,11.52
1986-08-01,11.51
1986-09-01,11.1
1986-10-01,10.15
1986-11-01,10.29
1986-12-01,10.36
1987-01-01,10.74
1987-02-01,10.59
1987-03-01,10.95
1987-04-01,12.04
1987-05-01,13.43
1987-06-01,13.2
1987-07-01,13.56
1987-08-01,14.01
1987-09-01,14.18
1987-10-01,14.26
1987-11-01,13.36
1987-12-01,13.44
1988-01-01,12.64
1988-02-01,12.36
1988-03-01,11.61
1988-04-01,11.07
1988-05-01,11.3
1988-06-01,10.86
1988-07-01,11.06
1988-08-01,11.14
1988-09-01,11.42
1988-10-01,12.14
1988-11-01,12.51
1988-12-01,12.82
1989-01-01,13.21
1989-02-01,13.2
1989-03-01,13.57
1989-04-01,13.51
1989-05-01,13.62
1989-06-01,13.78
1989-07-01,12.577
1989-08-01,13.7
1989-09-01,13.74
1989-10-01,13.81
1989-11-01,14
1989-12-01,14.49
1990-01-01,14.49
1990-02-01,14.62
1990-03-01,14.86
1990-04-01,14.79
1990-05-01,14.63
1990-06-01,14.49
1990-07-01,14.45
1990-08-01,14.67
1990-09-01,15.14
1990-10-01,14.86
1990-11-01,14.59
1990-12-01,14.54
1991-01-01,14.52
1991-02-01,14.13
1991-03-01,13.15
1991-04-01,12.53
1991-05-01,11.86
1991-06-01,11.92
1991-07-01,12.15
1991-08-01,12.09
1991-09-01,11.58
1991-10-01,11.62
1991-11-01,11.4572
1991-12-01,11.31941176
1992-01-01,10.92655556
1992-02-01,10.79221053
1992-03-01,10.79619048
1992-04-01,10.8713
1992-05-01,10.84673684
1992-06-01,11.34077273
1992-07-01,11.82743478
1992-08-01,12.22280952
1992-09-01,12.64554545
1992-10-01,12.99947619
1992-11-01,12.54045
1992-12-01,12.5328
1993-01-01,12.15457895
1993-02-01,11.43145
1993-03-01,11.34990909
1993-04-01,11.4856
1993-05-01,11.21761905
1993-06-01,10.56740909
1993-07-01,10.219
1993-08-01,9.481380952
1993-09-01,9.093272727
1993-10-01,8.6876
1993-11-01,8.56105
1993-12-01,8.280666667
1994-01-01,7.98565
1994-02-01,8.081
1994-03-01,8.827409091
1994-04-01,9.0593
1994-05-01,9.548238095
1994-06-01,10.28340909
1994-07-01,10.58835
1994-08-01,10.678
1994-09-01,11.22157143
1994-10-01,11.13525
1994-11-01,11.18494737
1994-12-01,11.38036842
1995-01-01,11.8622381
1995-02-01,11.59595
1995-03-01,12.26090909
1995-04-01,12.09161111
1995-05-01,11.4114
1995-06-01,11.53759091
1995-07-01,11.334
1995-08-01,10.97104545
1995-09-01,10.80257143
1995-10-01,10.89333333
1995-11-01,10.54085
1995-12-01,9.949722222
1996-01-01,9.464318182
1996-02-01,9.704619048
1996-03-01,9.8933
1996-04-01,9.323
1996-05-01,9.17065
1996-06-01,9.10875
1996-07-01,8.775869565
1996-08-01,8.861714286
1996-09-01,8.435714286
1996-10-01,7.760130435
1996-11-01,7.3421
1996-12-01,6.997368421
1997-01-01,6.831333333
1997-02-01,6.74085
1997-03-01,7.031736842
1997-04-01,6.952909091
1997-05-01,6.614421053
1997-06-01,6.467380952
1997-07-01,6.212136364
1997-08-01,6.3049
1997-09-01,6.086761905
1997-10-01,5.975217391
1997-11-01,5.95715
1997-12-01,5.643619048
1998-01-01,5.39705
1998-02-01,5.2353
1998-03-01,5.085857143
1998-04-01,5.06345
1998-05-01,5.130105263
1998-06-01,5.019227273
1998-07-01,4.939434783
1998-08-01,4.740952381
1998-09-01,4.474454545
1998-10-01,4.427952381
1998-11-01,4.405684211
1998-12-01,4.07565
1999-01-01,3.880105263
1999-02-01,4.02225
1999-03-01,4.254391304
1999-04-01,4.08635
